candidate_id,source,task,equation,scaling,law_auc,baseline_auc,baseline_feature,delta_baseline,pass_reduced_gate
tier2_pysr::010,tier2_pysr,tier2,((CUBN - NDUFA4L2) * -0.07060441) - -0.39114887,zscore,0.6372395216670614,0.609815297182098,CUBN,0.0274242244849634,False
tier2_pysr::010,tier2_pysr,tier2,((CUBN - NDUFA4L2) * -0.07060441) - -0.39114887,rank,0.6245486028889414,0.609815297182098,CUBN,0.014733305706843391,False
tier2_pysr::010,tier2_pysr,tier2,((CUBN - NDUFA4L2) * -0.07060441) - -0.39114887,minmax,0.6404955008287947,0.609815297182098,CUBN,0.030680203646696658,False
tier2_pysr::017,tier2_pysr,tier2,(-0.07137078 * (CUBN - NDUFA4L2)) - -0.38469547,raw,0.6385123135211934,0.609815297182098,CUBN,0.028697016339095383,False
tier2_pysr::017,tier2_pysr,tier2,(-0.07137078 * (CUBN - NDUFA4L2)) - -0.38469547,zscore,0.6372395216670614,0.609815297182098,CUBN,0.0274242244849634,False
tier2_pysr::017,tier2_pysr,tier2,(-0.07137078 * (CUBN - NDUFA4L2)) - -0.38469547,rank,0.6245264030310205,0.609815297182098,CUBN,0.014711105848922434,False
tier2_pysr::017,tier2_pysr,tier2,(-0.07137078 * (CUBN - NDUFA4L2)) - -0.38469547,minmax,0.6404955008287947,0.609815297182098,CUBN,0.030680203646696658,False
tier2_pysr::023,tier2_pysr,tier2,log1p(log1p(sqrt(exp(NDUFA4L2 - CUBN))) / 1.5258063),raw,0.6385123135211934,0.609815297182098,CUBN,0.028697016339095383,False
tier2_pysr::023,tier2_pysr,tier2,log1p(log1p(sqrt(exp(NDUFA4L2 - CUBN))) / 1.5258063),zscore,0.6372395216670614,0.609815297182098,CUBN,0.0274242244849634,False
tier2_pysr::023,tier2_pysr,tier2,log1p(log1p(sqrt(exp(NDUFA4L2 - CUBN))) / 1.5258063),rank,0.6245338029836609,0.609815297182098,CUBN,0.014718505801562864,False
tier2_pysr::023,tier2_pysr,tier2,log1p(log1p(sqrt(exp(NDUFA4L2 - CUBN))) / 1.5258063),minmax,0.6404955008287947,0.609815297182098,CUBN,0.030680203646696658,False
tier2_pysr::025,tier2_pysr,tier2,log1p((-0.13106725 * (CUBN - NDUFA4L2)) + 0.47160774),raw,0.6385123135211934,0.609815297182098,CUBN,0.028697016339095383,False
tier2_pysr::025,tier2_pysr,tier2,log1p((-0.13106725 * (CUBN - NDUFA4L2)) + 0.47160774),zscore,0.6372395216670614,0.609815297182098,CUBN,0.0274242244849634,False
tier2_pysr::025,tier2_pysr,tier2,log1p((-0.13106725 * (CUBN - NDUFA4L2)) + 0.47160774),rank,0.6244968032204594,0.609815297182098,CUBN,0.01468150603836138,False
tier2_pysr::025,tier2_pysr,tier2,log1p((-0.13106725 * (CUBN - NDUFA4L2)) + 0.47160774),minmax,0.6404955008287947,0.609815297182098,CUBN,0.030680203646696658,False
tier2_pysr::002,tier2_pysr,tier2,0.38469365 - (CUBN * 0.07136952),raw,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::002,tier2_pysr,tier2,0.38469365 - (CUBN * 0.07136952),zscore,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::002,tier2_pysr,tier2,0.38469365 - (CUBN * 0.07136952),rank,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::002,tier2_pysr,tier2,0.38469365 - (CUBN * 0.07136952),minmax,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::008,tier2_pysr,tier2,0.5249501 - (exp(CUBN) * 0.07136952),raw,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::008,tier2_pysr,tier2,0.5249501 - (exp(CUBN) * 0.07136952),zscore,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::008,tier2_pysr,tier2,0.5249501 - (exp(CUBN) * 0.07136952),rank,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::008,tier2_pysr,tier2,0.5249501 - (exp(CUBN) * 0.07136952),minmax,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::011,tier2_pysr,tier2,(exp(CUBN) * -0.07060441) - -0.48985445,raw,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::011,tier2_pysr,tier2,(exp(CUBN) * -0.07060441) - -0.48985445,zscore,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::011,tier2_pysr,tier2,(exp(CUBN) * -0.07060441) - -0.48985445,rank,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::011,tier2_pysr,tier2,(exp(CUBN) * -0.07060441) - -0.48985445,minmax,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::012,tier2_pysr,tier2,(CUBN * -0.07060441) - -0.39114887,raw,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::012,tier2_pysr,tier2,(CUBN * -0.07060441) - -0.39114887,zscore,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::012,tier2_pysr,tier2,(CUBN * -0.07060441) - -0.39114887,rank,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::012,tier2_pysr,tier2,(CUBN * -0.07060441) - -0.39114887,minmax,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::021,tier2_pysr,tier2,(-0.07137078 * CUBN) - -0.38469547,raw,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::021,tier2_pysr,tier2,(-0.07137078 * CUBN) - -0.38469547,zscore,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::021,tier2_pysr,tier2,(-0.07137078 * CUBN) - -0.38469547,rank,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::021,tier2_pysr,tier2,(-0.07137078 * CUBN) - -0.38469547,minmax,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::024,tier2_pysr,tier2,(-0.07137078 * exp(CUBN)) - -0.4514672,raw,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::024,tier2_pysr,tier2,(-0.07137078 * exp(CUBN)) - -0.4514672,zscore,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::024,tier2_pysr,tier2,(-0.07137078 * exp(CUBN)) - -0.4514672,rank,0.609815297182098,0.609815297182098,CUBN,0.0,False
tier2_pysr::024,tier2_pysr,tier2,(-0.07137078 * exp(CUBN)) - -0.4514672,minmax,0.609815297182098,0.609815297182098,CUBN,0.0,False
