gene_a,gene_b,auroc
PAX2,SPP1,0.55494146312474
CA12,CUBN,0.5548523206751055
DDIT4,LDHB,0.55461460747608
PGK1,PKM,0.5544957508765673
ENO1,LDHA,0.5542283235276638
AGXT,SLC12A3,0.5540500386283949
LDHB,TOP2A,0.553901467879004
ALB,CA9,0.5536934688298567
ACTB,DDIT4,0.5536340405301005
COL4A2,LRP2,0.5536340405301005
ENO2,SLC12A1,0.5536043263802223
ENO1,NDUFA4L2,0.5534260414809533
PTGER3,RPL13A,0.5534260414809533
LDHB,MCM2,0.553366613181197
PAX2,SLC2A1,0.5530991858322933
AGXT,DDIT4,0.5530694716824152
CXCR4,ENO1,0.5529506150829024
CA9,NDUFA4L2,0.5528911867831461
ALB,PKM,0.5526534735841208
PFKP,SLC12A1,0.5525940452843644
CXCR4,SPP1,0.5524751886848517
LDHB,S100A4,0.5524157603850954
ACTB,HK2,0.5524157603850953
CA12,CXCR4,0.55217804718607
S100A4,SPP1,0.5519403339870447
PAX8,PGK1,0.5518809056872882
ALDOA,PAX8,0.5517620490877756
ENO1,ENO2,0.5516134783383848
MMP9,SLC12A3,0.5514946217388721
SLC12A1,SLC12A3,0.5514351934391157
CCNB1,MMP9,0.5512569085398467
AGXT,LRP2,0.5512569085398467
ENO1,PGK1,0.5511974802400903
SLC22A8,SLC2A1,0.5511677660902121
ACTB,PAX8,0.5510786236405778
ALB,PAX2,0.5510489094906995
LDHB,PAX8,0.5509894811909432
CA9,RPL13A,0.5507814821417959
GAPDH,SPP1,0.5507517679919178
ANGPTL4,BHLHE40,0.550454626493136
CALB1,SLC12A3,0.5503357698936233
COL4A2,HK2,0.5502466274439888
BHLHE40,HK2,0.54974148689606
ANGPTL4,KRT7,0.5496523444464254
ALB,SLC12A1,0.5495037736970345
BHLHE40,PAX8,0.5492066321982528
CA12,RPL13A,0.5490580614488619
ENO1,PDK1,0.5489094906994711
BHLHE40,DDIT4,0.5488500623997148
CXCR4,PTGER3,0.5485826350508112
CALB1,S100A4,0.5485232067510549
ALB,LRP2,0.5485232067510548
AGXT,SLC2A1,0.5484637784512985
ALB,CUBN,0.5484043501515422
CXCR4,DDIT4,0.5483449218517858
BHLHE40,LDHA,0.5483152077019076
CA9,KRT7,0.5481072086527604
AGXT,CUBN,0.5480774945028822
COL4A2,NDUFA4L2,0.5479883520532478
ENO2,SPP1,0.5478100671539787
LDHB,NDUFA4L2,0.5477209247043442
GAPDH,PCNA,0.547512925655197
BHLHE40,SLC2A1,0.5474237832055625
PDK1,SPP1,0.547334640755928
CXCR4,SLC12A1,0.5473049266060498
AGXT,PAX8,0.5471266417067808
PKM,VEGFA,0.5470672134070245
ALDOA,MCM2,0.5470077851072681
DDIT4,RPL13A,0.5469483568075117
PDK1,PKM,0.5469186426576336
RPL13A,SPP1,0.5465917870089737
PCNA,S100A4,0.5465917870089737
ENO2,PKM,0.5464432162595828
ACTB,ANGPTL4,0.5463837879598265
RPL13A,SLC2A1,0.5463540738099484
LDHB,MKI67,0.546294645510192
PAX8,PCNA,0.5462352172104357
ALDOA,PFKP,0.5462352172104357
ALDOA,CUBN,0.5459975040114102
PDK1,SLC12A1,0.5459380757116539
DDIT4,PCNA,0.5459380757116539
ACTB,SLC12A3,0.5459380757116539
CA9,GAPDH,0.545611220062994
COL4A2,PFKP,0.545284364414334
CA12,VEGFA,0.5452249361145777
PGK1,SLC12A3,0.5451655078148214
ENO1,SLC22A8,0.5446306531170143
ALDOA,LDHA,0.5446009389671361
ENO2,MMP9,0.5445415106673798
PTGER3,S100A4,0.5444523682177453
ACTB,S100A4,0.5443632257681108
AGXT,ANGPTL4,0.5443335116182326
SLC12A1,VEGFA,0.5443037974683544
ALDOA,HK2,0.5440066559695727
ACTB,NDUFA4L2,0.54388779937006
ALDOA,LRP2,0.5438283710703037
CALB1,KRT7,0.5436500861710346
SLC22A8,SPP1,0.543204373922862
AGXT,PKM,0.5429369465739585
ALB,COL4A2,0.5428775182742022
LDHA,PKM,0.542847804124324
PGK1,SPP1,0.5427586616746896
MCM2,SLC12A1,0.5426992333749331
ANGPTL4,ENO1,0.5426398050751767
NDUFA4L2,SPP1,0.5425803767754205
EPAS1,LRP2,0.5425506626255422
ENO2,PTGER3,0.5424615201759079
CXCR4,MMP9,0.5420455220776134
CALB1,MCM2,0.5418969513282225
CALB1,NDUFA4L2,0.5418969513282225
COL4A2,DDIT4,0.5418672371783444
CA12,SLC22A8,0.5418078088785879
GAPDH,PTGER3,0.541629523979319
ANGPTL4,CXCR4,0.5413026683306591
ANGPTL4,PCNA,0.5412135258810246
CXCR4,PKM,0.540946098532121
PCNA,SLC12A3,0.5408866702323647
CA12,PAX2,0.5408569560824865
MMP9,PAX8,0.540589528733583
SPP1,VEGFA,0.5405301004338265
MCM2,RPL13A,0.5401735306352886
ALB,SPP1,0.5399952457360195
CA12,KRT7,0.539906103286385
CA9,ENO2,0.5397872466868723
NDUFA4L2,PKM,0.5396089617876033
CALB1,HK2,0.5394306768883342
ACTB,GAPDH,0.5394009627384561
ENO1,PAX8,0.5393712485885779
GAPDH,MMP9,0.5391335353895526
ALDOA,ANGPTL4,0.5391335353895526
CXCR4,HK2,0.5388363938907708
ENO1,VEGFA,0.5388363938907708
MMP9,S100A4,0.5387472514411362
CXCR4,MCM2,0.5386581089915018
ENO1,HK2,0.5385986806917453
ALB,CALB1,0.5384501099423545
ALDOA,DDIT4,0.5381529684435729
GAPDH,LDHB,0.5380638259939383
COL4A2,LDHA,0.5377369703452783
SLC12A3,SPP1,0.5376181137457657
HK2,SLC12A1,0.537469542996375
ALDOA,SLC12A3,0.5373804005467404
S100A4,SLC12A1,0.5373506863968622
BHLHE40,CA9,0.537320972246984
MKI67,TOP2A,0.5370832590479586
HK2,PKM,0.5367861175491769
COL4A2,PGK1,0.5367861175491768
LDHB,RPL13A,0.5367564033992986
PAX8,PTGER3,0.536637546799786
KRT7,SPP1,0.5363701194508825
ANGPTL4,SPP1,0.5361324062518571
COL4A2,SLC12A3,0.5359838355024663
CUBN,KRT7,0.5358946930528318
HK2,RPL13A,0.5354786949545374
ENO1,S100A4,0.5351815534557557
ALDOA,SLC22A8,0.5351815534557556
NDUFA4L2,SLC12A1,0.5347952695073395
HK2,SPP1,0.534557556308314
BHLHE40,PAX2,0.5344386997088013
CUBN,PFKP,0.5343495572591668
LDHA,RPL13A,0.5342604148095322
CALB1,LDHA,0.5341118440601414
LDHA,SPP1,0.5340524157603851
AGXT,SLC22A8,0.5339632733107506
AGXT,CA9,0.5337255601117252
ENO1,KRT7,0.5336661318119689
BHLHE40,PKM,0.5336364176620907
ALDOA,PDK1,0.5336364176620907
CXCR4,SLC2A1,0.5336364176620907
ALB,CA12,0.533517561062578
CALB1,PAX8,0.5334878469126998
HK2,PTGER3,0.5334581327628216
ENO2,LDHB,0.5334581327628216
COL4A2,KRT7,0.5333689903131873
ENO2,LDHA,0.5333689903131871
MCM2,PTGER3,0.5332798478635526
CA9,SLC12A3,0.5331907054139181
PAX8,SPP1,0.5331609912640398
NDUFA4L2,PTGER3,0.5331312771141618
