sample_id,label,TOP2A,MKI67,CDK1,CCNB1,PCNA,EPCAM,SOX9,CD44,VIM,ZEB1,CDH1,CDH2,SNAI1,EPAS1,HIF1A,VEGFA,GPC3,TERT,AFP
TCGA-K7-A6G5-01A,0,2.5197934862411002,1.2723218527699898,2.509113073044294,3.817623257511431,6.356865681557651,1.5959332542251838,3.9053412713117712,3.6067738440486843,5.628342005053474,1.8516790908698058,5.87905876067441,4.45981191538389,2.560250282942387,5.808717110333551,4.669174203223489,3.5442133406113436,6.607120182861958,0.11156554495951766,1.0747109338414915
TCGA-UB-A7MF-01A,1,4.991408466764788,3.6618749866298597,4.310601876206978,5.267760499422804,8.1468730923679,0.2468336879105421,1.813114191346289,2.5892361598778164,5.77270385933736,2.409581019902552,6.53366612723117,4.999693394725847,1.2685541640335436,5.7293977798119755,3.987739241400314,6.08096245589686,10.737226551842186,0.26195197859215374,9.549453358639262
TCGA-G3-A7M5-01A,0,1.1935825250816485,0.7816534687880107,1.125254339031466,2.555374446110629,6.403859065189269,0.17299947259176227,0.19459140277373368,1.3295254851966554,4.76659516172927,1.589955194518432,5.919058762856388,3.7216679496953344,2.3029039075661024,4.892711589194556,3.1544859978649207,4.179017328423909,8.06977519305627,0.18840092460321003,1.2052673822345097
TCGA-MI-A75C-01A,0,2.711825257002458,1.885222920882173,2.451488082691828,3.952687672854219,6.751967098342913,0.23915359984436965,4.834761771936032,1.7907303408709745,4.887340048002192,1.2225572913487281,5.111018788939936,3.643255903769567,0.5707543551338675,5.040454121349624,3.7670826911880124,5.065516305264265,10.240952285026752,0.298892881054161,2.057519589199283
TCGA-NI-A4U2-01A,0,1.3244650063315417,0.6020767484238289,0.9701910401894667,2.499909651200733,5.145917884333912,0.4014120253638086,1.704650675240352,1.8702266088322037,6.0452026763221856,2.149487004556667,5.411965121839053,4.40977107862602,1.3028161941869545,5.812002695147991,3.3552982333479546,3.280926628442504,2.993946030151894,0.0,1.3353117413053064
TCGA-DD-A3A4-01A,0,1.748890542645915,2.1522807855134167,1.5708514834229195,2.3953370500727025,5.7366048753142485,0.24305970607252766,0.963474123974886,2.7078560514821866,5.20054358728779,2.492237763720539,6.565167593320786,2.9918437947410017,0.47747010334189877,7.303888489732896,5.043760068591857,3.2124292645712758,7.910895123814027,0.07929276727285353,1.4820738202919417
TCGA-DD-A113-01A,1,5.216047376243552,3.7734794777389493,3.9953578817800457,5.021919398119976,7.408601481127063,5.589703573156156,4.036054894477081,2.4860192409853816,5.529833437340778,2.901050302291161,7.397699444095147,5.428015057201549,1.3447148944901273,6.4298050754025144,5.565161499031363,5.402135485265781,8.932375698731969,0.19887127951781905,1.9626970789604312
TCGA-DD-A73A-01A,0,3.2334432833271105,1.894177501103478,2.586956849754119,3.289613175961508,6.214641626672547,0.39966330388801763,2.2839217723076173,2.5641098486790974,5.4610766642794335,2.36513259345253,6.343709832749733,4.725037630270374,1.2415961553095407,6.489393610519453,4.260951514812188,4.0246299600257425,4.268434393576383,3.8763106571219397,2.9005866927138793
TCGA-ED-A66X-01A,1,5.100632906674999,3.6808644223759868,4.6235684149929375,5.751094109085137,7.302731216765151,8.502240287223566,5.660965685196558,3.7655241382722053,7.484497470935138,2.8173572041081427,7.360379202108726,2.429749850800216,3.574392198205402,6.575849307860235,5.366594988973841,4.9359499922268135,11.801425732735632,0.13119435170845012,13.087770027668466
TCGA-G3-A3CI-01A,0,1.3112705914866416,1.2950764582739862,1.102456576650734,1.6291933968621832,5.575992972084383,1.1663940962534578,2.4720717994160677,2.5981031332151567,5.150681520673329,2.330501035270426,6.218370460365003,3.8793822997486838,2.736258500344033,5.887354671714652,3.8177971889816957,4.088404528847767,8.722129219698001,0.038295698181544525,1.6345932684457567
TCGA-DD-A4NE-01A,0,6.322456385208827,4.5842710436725795,5.562666773681055,6.508186175718092,7.663679776448673,0.506601942191015,3.0685676345056527,2.1078217559128536,5.343734701381291,3.1512581098147416,6.495843836965341,3.87414775459479,1.9342522820940546,6.50909723364734,5.195087700807006,5.649511995151368,6.312436467358687,0.33811059626622364,3.0182424712784144
TCGA-ED-A5KG-01A,1,5.456714171204857,4.267625682810104,4.599502284980048,5.102040781103288,7.722797970081973,8.531132671650902,5.212837776545003,6.578028441560558,8.224467700395753,4.09585692391483,6.822639658050237,5.232929318634661,2.4785835837342223,6.908023868238076,6.440133309297677,5.410805780573472,11.144028710672451,0.2784606094434016,10.491211555539673
TCGA-DD-A4ND-01A,0,5.3478392511045465,3.604118779962047,3.964296965293355,5.591179724254549,7.044584280262605,5.729620743553038,3.809970011517312,4.104655359561721,7.3502187588481105,3.7834671314103656,6.154374601991801,4.750461799339081,4.5377868230101805,7.400751380743462,6.139784620397012,4.774402289618658,11.327109045402468,0.7038094665262459,12.123998819751886
TCGA-RC-A6M5-01A,0,1.0179931504377544,3.1303543353920227,0.9246320070096966,2.121943733510401,5.621175683795941,2.830377031213933,1.1016500760944348,4.110939471239545,7.378443995338647,3.2062212302301742,7.328533118917678,0.7038980379135034,3.254775426648101,7.170007152570915,4.611597333993894,4.186286609630031,7.146255028894058,0.0,1.6166399971719165
TCGA-FV-A2QQ-01A,0,2.264386298833753,1.515106871266764,2.047189363712453,4.118774997548823,6.221940864415635,1.1446990251541391,4.089608314839777,2.60088819071141,6.095527835278713,2.0310422433585718,6.377300777360858,4.291596191309138,2.4694953019819947,5.748072060762248,5.2724748939607045,4.150462193887355,9.61301883928528,0.2879450386445189,2.246499297958883
